,Y,Y1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Population2015,percentage_pop_perZiP
10040,0.03,2.92,0.01,0.190445502,1.003699266,0.077207636,0.041177406,0.066913284,0.010294351,13.66575155,0.005147176,0.066913284,15.12754945,43480,0.01
10019,0,22.8,0.02,0.597347026,3.141221431,0.03089726,0.087542237,0.03089726,0,5.86018031,0.54070205,1.019609579,11.30839715,43500,0.01
11228,0.03,4.63,0.01,0.205356685,7.161156202,0.363323366,0.010531112,0.015796668,0.036858892,0.547617827,0.010531112,0.036858892,8.388030757,44480,0.01
10465,0.02,2.58,0.01,0.479359506,6.568805534,1.143088052,0.021070748,0.010535374,0.047409182,0.848097587,0.031606121,0.026338434,9.176310538,44498,0.01
11367,0.03,3.36,0,0.111247893,3.178511228,0.519156834,0.010595037,0,0.010595037,1.668718395,0.015892556,0.010595037,5.525312018,44750,0.01
11419,0.04,3.96,0.01,0.226716991,9.387163029,1.446670323,0.005398024,0.129552566,0.010796047,1.700377432,0.032388142,0.140348613,13.07941117,45599,0.01
10028,-0.01,10.11,0.02,0.192564509,1.557021604,0.027509216,0.044014745,0.055018431,0,2.299770425,0.055018431,0.42364192,4.654559281,46476,0.01
10021,-0.06,17.11,0,0.134484763,2.028478514,0.084052977,0.033621191,0.033621191,0,1.557781842,0.134484763,0.156898891,4.163424131,47335,0.01
10011,0.01,21,0.02,0.183139069,2.53533149,0.051507863,0.068677151,0.057230959,0.017169288,6.415590521,0.847018195,0.635263647,10.81092818,48345,0.01
10034,0.02,3.45,0,0.163952463,2.517841392,0.029277225,0.040988116,0.040988116,0,13.04593168,0.093687122,0.251784139,16.18445025,49463,0.01
11374,0.01,6.36,0.01,0.229165688,6.346126733,0.334934466,0.005876043,0.023504173,0.005876043,0.64636476,0.047008346,0.005876043,7.644732295,49637,0.01
10451,0.01,4.5,0,0.223914929,2.186116808,0.058924981,0.023569993,0.047139985,0.005892498,3.771198805,0.135527457,0.09427997,6.546565426,49776,0.01
10461,0,7.1,0.01,0.505490538,8.725729522,1.360010256,0.060177445,0.036106467,0.036106467,1.919660495,0.024070978,0.090266167,12.75761834,50834,0.01
10459,0.02,3.36,0,0.343618727,2.586183053,0.108511177,0.030141994,0.036170392,0.006028399,2.706751028,0.018085196,0.120567975,5.956057941,50924,0.01
11237,0.05,5.8,0.03,0.434078802,5.196887876,0.235126018,0.024115489,0.066317595,0.006028872,7.023636167,0.126606317,0.150721806,13.26351894,50928,0.01
11420,0.04,2.57,0.02,0.456196268,8.497415817,1.697050117,0.018247851,0.054743552,0.018247851,1.843032922,0.018247851,0.018247851,12.62143008,51382,0.01
11224,0,3.98,-0.02,0.300269872,1.611652576,0.104175262,0.012255913,0.01838387,0.006127957,1.060136485,0.110303218,0.030639783,3.253944935,51765,0.01
11201,0.04,17.31,0.02,0.249915033,7.010116663,0.256162908,0.137453268,0.012495752,0.006247876,4.411000324,0.181188399,0.356128921,12.62070914,52778,0.01
10003,0.01,25.45,0.02,0.379340222,2.680670899,0.088512718,0.107479729,0.101157392,0,9.938713805,1.346657787,0.303472177,14.94600473,53407,0.01
11216,0.06,4.5,0.02,0.709077911,5.047345493,0.257846513,0.038676977,0.038676977,0.019338488,10.41055297,0.225615699,0.083800117,16.83093114,54453,0.01
10033,0.01,6.46,0,0.317375944,1.735852103,0.097155901,0.02590824,0.142495322,0.00647706,11.93722174,0.045339421,0.213742983,14.52156871,54714,0.01
10016,0.01,36.67,0.01,0.137552115,2.947545331,0.072051108,0.072051108,0.052400806,0,4.919125653,0.497807656,0.144102216,8.842635993,55331,0.01
11238,0.08,6.53,0.02,0.625644655,6.776719471,0.441244125,0.059271599,0.059271599,0.0197572,12.05189177,0.144886131,0.032928666,20.21161522,55632,0.01
10306,0.02,7.25,0,0.527679742,5.283476915,1.262423688,0.026717962,0.126910318,0,0.81489783,0.020038471,0.020038471,8.082183397,56424,0.01
10031,0.02,4.81,0,0.377724094,1.773954225,0.114666243,1.1534075,0.060705658,0.013490146,12.54583597,0.074195804,0.148391608,16.26237125,56978,0.01
11435,0.02,5.75,0.01,0.438799098,8.148161714,0.972108771,0.013501511,0.162018129,0,1.343400316,0.054006043,0.033753777,11.16574936,57026,0.01
10460,0.03,3.62,0,0.52307096,4.611283466,0.199592866,0.048177588,0.027530051,0.020647538,2.284994195,0.075707639,0.075707639,7.866711943,58139,0.01
10463,0.02,7.47,0.01,0.498001089,6.623414488,0.206314737,0.071143013,0.05691441,0.007114301,3.194321273,0.064028711,0.064028711,10.78528073,60097,0.01
10312,0.02,6.19,-0.02,0.398626268,7.99388033,1.345363653,0.085419914,0.014236652,0.014236652,0.555229444,0.028473305,0.021354979,10.4568212,60131,0.01
11354,0.05,22.35,0,0.307976548,7.291165716,0.580141869,0.007162245,0.064460208,0,0.880956172,0.042973472,0.207705114,9.382541343,60502,0.01
10027,0.02,7.02,0,0.416831501,3.931152263,0.265909751,0.05030725,0.09342775,0.0143735,10.95979379,0.172482001,0.10780125,16.01207905,60709,0.01
10473,0.02,2.3,-0.01,0.815286473,6.406852989,0.815286473,0.043289547,0.014429849,0.007214925,1.933599776,0.064934321,0.021644774,10.12253912,60947,0.01
10032,0.04,6.06,0,0.40473848,2.934353977,0.144549457,0.028909891,0.10118462,0.065047256,20.42483827,0.007227473,0.30355386,24.41440328,61053,0.01
11691,0.03,3.48,0,0.850932914,2.45825064,1.796413929,0.058183447,0.014545862,0.007272931,1.06912084,0.087275171,0.036364654,6.378360388,61437,0.01
11432,0.02,9.25,0.01,0.284609222,7.363351422,0.481646376,0.029190689,0.182441809,0,2.364445848,0.138655775,0.233525516,11.07786666,61646,0.01
10024,0,14.1,0.01,0.27015842,2.657774727,0.029206316,0.116825263,0.014603158,0.007301579,4.234915774,0.321269473,0.518412103,8.170466813,61679,0.01
10128,0,12.02,0,0.329934793,2.456181234,0.095314496,0.058655074,0.021995653,0,2.661473993,0.197960876,0.190628991,6.012145109,61935,0.01
11225,0.06,4.88,0.01,0.681876247,5.579654024,0.300612109,0.043992016,0.029328011,0,6.378842314,0.080652029,0.029328011,13.12428476,61936,0.01
11211,0.02,20.12,0.03,0.411321372,6.808837705,0.550876837,0.117520392,0.132210441,0.022035073,16.45285487,0.190970637,0.110175367,24.79680269,62046,0.01
11434,0.02,6.84,0.01,0.639779263,6.419853987,1.750200743,0.051476492,0,0,1.838446159,0.080891631,0.102952985,10.88360126,62120,0.01
10023,0.01,16.38,0.01,0.306970315,4.200252363,0.142254536,0.119793294,0.007487081,0.007487081,4.357481061,0.43425069,1.677106113,11.25308253,63246,0.01
11210,0.02,7.43,0,0.220603003,11.50939117,1.125836017,0.030428,0.015214,0,1.795252026,0.060856001,0.060856001,14.81843622,64259,0.01
10009,0.04,9.29,0.02,0.608500108,2.403190302,0.215670925,0.084727863,0.123240528,0,13.50254038,0.593095042,0.33120892,17.86217407,65066,0.01
11213,0.05,5.78,0.01,0.742829794,7.405084505,0.386890518,0.023213431,0.023213431,0.00773781,4.395076279,0.085115914,0.038689052,13.10785073,65364,0.01
11215,0.04,16.92,0.03,0.411327764,11.62202565,0.758133526,0.072587253,0.048391502,0.016130501,7.161942247,0.258088009,0.169370256,20.51799671,68130,0.01
11375,0.01,16.9,0.01,0.593386613,9.681143237,0.471457857,0.073157254,0.016257167,0.024385751,2.511732376,0.089414421,0.073157254,13.53409193,68665,0.01
10472,0.03,4.43,0,0.759117977,7.827893975,0.114275824,0.065300471,0.07346303,0.040812794,5.934180313,0.057137912,0.179576296,15.05175859,68952,0.01
10466,0,4.86,0,0.727468647,14.85180372,1.700151444,0.01634761,0.03269522,0,2.239622575,0.11443327,0.138954685,19.82147717,69047,0.01
11233,0.08,3.71,0.02,1.164042313,7.172795945,0.672193449,0.016394962,0.098369773,0.032789924,5.975963707,0.155752141,0.008197481,15.2964997,69247,0.01
10469,0.03,5.55,0.01,1.020758105,12.61184601,2.016208158,0.042180087,0.025308052,0.008436017,2.125876384,0.050616104,0.050616104,17.95184502,71262,0.01
11209,0.02,16.65,0.01,0.536038813,19.59999981,0.812704006,0.025937362,0.077812086,0.043228937,5.602470171,0.043228937,0.051874724,26.79329484,73034,0.01
10452,0.03,6.04,0,0.644466176,5.617306538,0.191598052,0.078381021,0.087090024,0.008709002,8.099372217,0.104508029,0.156762043,14.9881931,73568,0.01
10468,0.02,7.07,0,0.656877523,6.209682183,0.070066936,0.061308569,0.131375505,0.008758367,7.418336825,0.070066936,0.166408972,14.79288182,73985,0.01
